title,runtime,genre,year,mpaa,worldwide_gross
Avengers: Endgame,181.0,Action,2019.0,PG-13,2797800564
Pirates of the Caribbean: On Stranger Tides,136.0,Adventure,2011.0,PG-13,1045713802
Avengers: Age of Ultron,141.0,Action,2015.0,PG-13,1395316979
Star Wars Ep. VII: The Force Awakens,136.0,Adventure,2015.0,PG-13,2064615817
Avengers: Infinity War,156.0,Action,2018.0,PG-13,2048359754
Pirates of the Caribbean: At World’s End,167.0,Adventure,2007.0,PG-13,960996492
Justice League,121.0,Action,2017.0,PG-13,655945209
Spectre,148.0,Action,2015.0,PG-13,879500760
Mission: Impossible Dead Reckoning Part One,,Action,2023.0,,0
Star Wars: The Rise of Skywalker,142.0,Adventure,2019.0,PG-13,1072848487
Solo: A Star Wars Story,135.0,Adventure,2018.0,PG-13,393151347
John Carter,132.0,Adventure,2012.0,PG-13,282778100
Batman v Superman: Dawn of Justice,151.0,Action,2016.0,PG-13,872395091
Star Wars Ep. VIII: The Last Jedi,150.0,Adventure,2017.0,PG-13,1331635141
The Lion King,118.0,Adventure,2019.0,PG,1647778651
Tangled,101.0,Musical,2010.0,PG,583777242
Spider-Man 3,139.0,Adventure,2007.0,PG-13,894860230
Captain America: Civil War,146.0,Action,2016.0,PG-13,1151918521
Thor: Love and Thunder,119.0,Action,2022.0,PG-13,745453552
Harry Potter and the Half-Blood Prince,153.0,Adventure,2009.0,PG,929411069
The Hobbit: The Desolation of Smaug,201.0,Adventure,2013.0,PG-13,959358436
The Hobbit: The Battle of the Five Armies,144.0,Adventure,2014.0,PG-13,940389558
The Fate of the Furious,136.0,Action,2017.0,PG-13,1236703796
No Time to Die,163.0,Action,2021.0,PG-13,760008036
Avatar,162.0,Action,2009.0,PG-13,2910370905
Superman Returns,150.0,Adventure,2006.0,PG-13,391081192
The Dark Knight Rises,164.0,Action,2012.0,PG-13,1082228107
Pirates of the Caribbean: Dead Men Tell No Tales,135.0,Adventure,2017.0,PG-13,794861794
Quantum of Solace,106.0,Action,2008.0,PG-13,591692078
The Avengers,143.0,Action,2012.0,PG-13,1515100211
Pirates of the Caribbean: Dead Man’s Chest,151.0,Adventure,2006.0,PG-13,1066179725
Man of Steel,142.0,Action,2013.0,PG-13,667999518
The Chronicles of Narnia: Prince Caspian,144.0,Adventure,2008.0,PG,417341288
The Lone Ranger,149.0,Western,2013.0,PG-13,260002115
The Amazing Spider-Man,136.0,Adventure,2012.0,PG-13,757890267
Battleship,130.0,Action,2012.0,PG-13,313477717
Transformers: The Last Knight,148.0,Action,2017.0,PG-13,602893340
Jurassic World,124.0,Action,2015.0,PG-13,1669979967
Men in Black 3,104.0,Adventure,2012.0,PG-13,654213485
Transformers: Revenge of the Fallen,149.0,Action,2009.0,PG-13,836519699
Transformers: Age of Extinction,165.0,Action,2014.0,PG-13,1104054072
X-Men: The Last Stand,104.0,Action,2006.0,PG-13,459260946
Robin Hood,139.0,Action,2010.0,PG-13,322459006
King Kong,189.0,Adventure,2005.0,PG-13,550517357
The Golden Compass,113.0,Adventure,2007.0,PG-13,367262558
Tenet,110.0,Action,2020.0,PG-13,362450957
Spider-Man: No Way Home,148.0,Action,2021.0,PG-13,1912775610
Black Panther,120.0,Action,2018.0,PG-13,1336494321
Titanic,194.0,Drama,1997.0,PG-13,2207986545
Incredibles 2,118.0,Adventure,2018.0,PG,1242805359
Rogue One: A Star Wars Story,134.0,Adventure,2016.0,PG-13,1055083596
Finding Dory,103.0,Adventure,2016.0,PG,1025006125
Toy Story 4,89.0,Adventure,2019.0,G,1073080329
Toy Story 3,102.0,Adventure,2010.0,G,1068879522
Doctor Strange in the Multiverse of Madness,126.0,Action,2022.0,PG-13,952224986
Iron Man 3,130.0,Action,2013.0,PG-13,1215392272
Guardians of the Galaxy Vol 2,136.0,Action,2017.0,PG-13,869113101
Spider-Man 2,127.0,Adventure,2004.0,PG-13,794697557
The Batman,175.0,Action,2022.0,PG-13,767820302
Alice in Wonderland,108.0,Adventure,2010.0,PG,1025491110
Skyfall,143.0,Action,2012.0,PG-13,1110526981
The Hobbit: An Unexpected Journey,169.0,Adventure,2012.0,PG-13,1014938545
Monsters University,102.0,Adventure,2013.0,G,743455810
Oz the Great and Powerful,130.0,Adventure,2013.0,PG,490359051
X-Men: Days of Future Past,131.0,Action,2014.0,PG-13,747862775
The Amazing Spider-Man 2,141.0,Action,2014.0,PG-13,708996336
Cars 2,107.0,Adventure,2011.0,G,560155383
Black Widow,133.0,Action,2021.0,PG-13,379751655
Fast & Furious Presents: Hobbs & Shaw,134.0,Action,2019.0,PG-13,760381706
F9: The Fast Saga,145.0,Action,2021.0,PG-13,721077945
Tron: Legacy,125.0,Adventure,2010.0,PG,399866199
2012,158.0,Action,2009.0,PG-13,757677748
Eternals,156.0,Action,2021.0,PG-13,402064929
Fantastic Beasts: The Crimes of Grindelwald,134.0,Adventure,2018.0,PG-13,648455339
Terminator Salvation,116.0,Action,2009.0,PG-13,365491792
Lightyear,110.0,Adventure,2022.0,PG,218571346
Jungle Cruise,90.0,Adventure,2021.0,PG-13,210384144
Green Lantern,113.0,Action,2011.0,PG-13,219535492
Fantastic Beasts: The Secrets of Dumbledore,,Adventure,2022.0,PG-13,404560146
Prince of Persia: Sands of Time,115.0,Action,2010.0,PG-13,336359676
Dark Phoenix,114.0,Action,2019.0,PG-13,246356895
Onward,114.0,Adventure,2020.0,PG,133317030
Wonder Woman 1984,151.0,Action,2020.0,PG-13,166360232
Mulan,115.0,Adventure,2020.0,PG-13,69965374
The Tomorrow War,140.0,Action,2021.0,PG-13,19220000
The Gray Man,129.0,Thriller/Suspense,2022.0,PG-13,451178
Transformers: Dark of the Moon,154.0,Action,2011.0,PG-13,1123794079
The Mummy,107.0,Adventure,2017.0,PG-13,409953905
Jack the Giant Slayer,113.0,Adventure,2013.0,PG-13,197687603
Furious 7,137.0,Action,2015.0,PG-13,1514553486
Star Trek Into Darkness,132.0,Adventure,2013.0,PG-13,467381584
World War Z,115.0,Action,2013.0,PG-13,531861650
The Great Gatsby,141.0,Drama,2013.0,PG-13,353640419
Disney’s A Christmas Carol,95.0,Drama,2009.0,PG,315709697
Pacific Rim,131.0,Action,2013.0,PG-13,411002906
The Matrix Resurrections,148.0,Action,2021.0,R,156467817
The Good Dinosaur,92.0,Adventure,2015.0,PG,333771037
Iron Man,126.0,Adventure,2008.0,PG-13,585171547
The Dark Knight,152.0,Action,2008.0,PG-13,998615789
Indiana Jones and the Kingdom of the Crystal Skull,123.0,Adventure,2008.0,PG-13,786635413
Brave,93.0,Adventure,2012.0,PG,554606532
Kong: Skull Island,118.0,Adventure,2017.0,PG-13,561072059
Star Trek Beyond,122.0,Adventure,2016.0,PG-13,335673708
Maleficent: Mistress of Evil,118.0,Adventure,2019.0,PG,489346495
Blade Runner 2049,164.0,Thriller/Suspense,2017.0,R,258829058
Terminator: Dark Fate,128.0,Action,2019.0,R,250372367
The Suicide Squad,132.0,Action,2021.0,R,167120232
Aladdin,128.0,Adventure,2019.0,PG,1046649706
Thor: Ragnarok,130.0,Action,2017.0,PG-13,850482778
"The Chronicles of Narnia: The Lion, the Witch a…",,,2005.0,,720539572
Maleficent,97.0,Adventure,2014.0,PG,758536735
Fantastic Beasts and Where to Find Them,133.0,Adventure,2016.0,PG-13,811724385
WALL-E,100.0,Adventure,2008.0,G,532508025
Rush Hour 3,91.0,Action,2007.0,PG-13,256585882
The Legend of Tarzan,110.0,Adventure,2016.0,PG-13,348902025
Hugo,126.0,Adventure,2011.0,PG,180047784
Valerian and the City of a Thousand Planets,129.0,Adventure,2017.0,PG-13,215098356
Jupiter Ascending,127.0,Action,2015.0,PG-13,181982519
Mission: Impossible—Fallout,147.0,Action,2018.0,PG-13,787176729
X-Men: Apocalypse,136.0,Action,2016.0,PG-13,542537546
The Meg,113.0,Action,2018.0,PG-13,527370715
Edge of Tomorrow,136.0,Action,2014.0,PG-13,367028980
Captain Marvel,124.0,Action,2019.0,PG-13,1129727388
The Jungle Book,105.0,Adventure,2016.0,PG,953554418
Inside Out,95.0,Adventure,2015.0,PG,853003563
Spider-Man: Homecoming,133.0,Action,2017.0,PG-13,878346440
Suicide Squad,123.0,Action,2016.0,PG-13,745744980
Up,89.0,Adventure,2009.0,PG,731463377
Coco,105.0,Musical,2017.0,PG,797666425
Ralph Breaks The Internet,112.0,Adventure,2018.0,PG,529290830
Monsters vs. Aliens,95.0,Adventure,2009.0,PG,381687380
Cars 3,109.0,Adventure,2017.0,G,383541369
G.I. Joe: The Rise of Cobra,118.0,Action,2009.0,PG-13,302469017
Wild Wild West,107.0,Adventure,1999.0,PG-13,221229335
The Mummy: Tomb of the Dragon Emperor,111.0,Adventure,2008.0,PG-13,405760225
Evan Almighty,96.0,Comedy,2007.0,PG,174131329
Waterworld,135.0,Action,1995.0,PG-13,264246220
Dolittle,103.0,Adventure,2020.0,PG,251410631
King Arthur: Legend of the Sword,126.0,Adventure,2017.0,PG-13,139630336
47 Ronin,127.0,Action,2013.0,PG-13,151716815
Turning Red,100.0,Adventure,2022.0,PG,10965045
Top Gun: Maverick,131.0,Action,2022.0,PG-13,1478823595
Jurassic World: Fallen Kingdom,128.0,Action,2018.0,PG-13,1308334005
Guardians of the Galaxy,121.0,Action,2014.0,PG-13,770882395
Iron Man 2,125.0,Action,2010.0,PG-13,621156389
Captain America: The Winter Soldier,135.0,Action,2014.0,PG-13,714401889
Dawn of the Planet of the Apes,130.0,Adventure,2014.0,PG-13,710644566
The Polar Express,92.0,Adventure,2004.0,G,312719437
Snow White and the Huntsman,127.0,Adventure,2012.0,PG-13,401021746
Terminator 3: Rise of the Machines,109.0,Action,2003.0,R,433058296
Van Helsing,132.0,Action,2004.0,PG-13,300150546
Dumbo,130.0,Adventure,2019.0,PG,353166307
Godzilla: King of the Monsters,132.0,Action,2019.0,PG-13,383299915
Tomorrowland,129.0,Adventure,2015.0,PG,206627518
Alita: Battle Angel,122.0,Action,2019.0,PG-13,401900040
Alice Through the Looking Glass,113.0,Adventure,2016.0,PG,276928112
Jurassic World: Dominion,146.0,Action,2022.0,PG-13,1001188755
Shrek Forever After,93.0,Adventure,2010.0,PG,756244673
Doctor Strange,115.0,Action,2016.0,PG-13,676354481
Big Hero 6,108.0,Adventure,2014.0,PG,648415024
How to Train Your Dragon,91.0,Adventure,2010.0,PG,494870992
Wreck-It Ralph,101.0,Adventure,2012.0,PG,496511521
Interstellar,165.0,Adventure,2014.0,PG-13,649133873
Dune,156.0,Action,2021.0,PG-13,397720527
Independence Day: Resurgence,119.0,Action,2016.0,PG-13,384169424
Cowboys and Aliens,118.0,Action,2011.0,PG-13,176038324
Beauty and the Beast,123.0,Musical,2017.0,PG,1270042058
