,Title,Developer(s),Publisher(s),Regions released,Regions released,Regions released,Ref.
0,007 Racing,Eutechnyx,EA Games and MGM Interactive,Unreleased,"December 15, 2000","November 20, 2000",
1,007: The World Is Not Enough,Black Ops Entertainment,EA Games and MGM Interactive,Unreleased,"November 17, 2000","November 8, 2000",[1]
2,007: Tomorrow Never Dies,Black Ops Entertainment,Electronic Arts and MGM Interactive,"February 10, 2000","November 25, 1999","November 16, 1999",
3,1-Jikan de Wakaru Kabushiki Toushi,Game Stage,D3Publisher,"July 26, 2001",Unreleased,Unreleased,
4,100 Manyen Quiz Hunter,FPS,FPS,"December 23, 1998",Unreleased,Unreleased,[2]
5,101 Dalmatians II: Patch's London Adventure,Backbone Entertainment,Eidos Interactive,Unreleased,Unreleased,"October 14, 2003",
6,10101: Will the Starship,Sound Technology,Sound Technology,"November 6, 1997",Unreleased,Unreleased,
7,102 Dalmatians: Puppies to the Rescue,Crystal Dynamics,Eidos Interactive,Unreleased,"December 20, 2000","November 15, 2000",
8,19:03 Ueno-hatsu Yakou Ressha,Visit,Visit,"March 4, 1999",Unreleased,Unreleased,
9,1Xtreme•ESPN Extreme Games,Sony Interactive Studios America,"SCEANA, SCEEPAL, SCEIJP","May 24, 1996",December 1995,"September 9, 1995",
10,2002 FIFA World Cup,EA Canada,EA Sports,Unreleased,"April 26, 2002","April 23, 2002",[3]
11,2999-Nen no Game Kids,SCEI,SCEI,"December 23, 1998",Unreleased,Unreleased,
12,2Xtreme,Sony Interactive Studios America,"SCEANA, SCEEPAL",Unreleased,"March 6, 1997","October 31, 1996",
13,360: Three Sixty,Smart Dog,Cryo Interactive,Unreleased,July 1999,Unreleased,
14,3D Baseball•3D Baseball: The MajorsJP,Crystal Dynamics,"Crystal DynamicsNA, BMG InteractiveJP","February 28, 1997",Unreleased,"October 31, 1996",
15,3D Shooting Tsukuru,Success,ASCII Entertainment,"December 20, 1996",Unreleased,Unreleased,
16,3x3 Eyes: Kyuusei Koushu,Nihon Create,Xing Entertainment,"August 11, 1995",Unreleased,Unreleased,
17,3x3 Eyes: Tenrinou Genmu,Nihon Create,King Records,"August 6, 1998",Unreleased,Unreleased,
18,3Xtreme,989 Studios,989 Studios,Unreleased,Unreleased,"March 31, 1999",
19,40 Winks,Eurocom,GT Interactive,Unreleased,November 1999,"November 14, 1999",
20,4-4-2 Soccer,Arc Developments,Virgin Interactive,Unreleased,August 1997,Unreleased,
21,5 Star Racing,Kung Fu Games,Phoenix Games,Unreleased,"November 15, 2003",Unreleased,
22,70's Robot Anime Geppy-X,Aroma,Aroma,"May 27, 1999",Unreleased,Unreleased,
23,98 Kōshien,Magical Company,Magical Company,"June 18, 1998",Unreleased,Unreleased,
24,99 Kōshien,Magical Company,Magical Company,"June 17, 1999",Unreleased,Unreleased,
25,A Nanjarin,To One,To One,"June 11, 1998",Unreleased,Unreleased,[4]
26,A2 Racer III: Europa Tour,Davilex,Davilex,Unreleased,2002,Unreleased,
27,A.IV Evolution: A-Ressha de Ikou 4,Artdink,Artdink,"December 3, 1994",Unreleased,Unreleased,
28,A5: A-Ressha de Ikou 5,Artdink,Artdink,"December 4, 1997",Unreleased,Unreleased,
29,A-Ressha de Ikou Z: Mezase! Tairiku Oudan,Artdink,Artdink,"May 4, 1999",Unreleased,Unreleased,
30,A-Train•A.IV Evolution GlobalJP•A-IV Evolution GlobalPAL,Artdink,"MaxisNA, ArtdinkJP, SCEEPAL","November 22, 1995",November 1996,"June 5, 1996",
31,AbalaBurn,Tamsoft,Takara,"August 20, 1998",Unreleased,Unreleased,
32,Ace Combat 2,Namco,"NamcoJP,NA, SCEEPAL","May 30, 1997",October 1997,"August 15, 1997",
33,Ace Combat 3: Electrosphere,Namco,"Namco, SCEEPAL","May 27, 1999","January 21, 2000","March 2, 2000",[5]
34,Aces of the Air•Simple 1500 Series Vol. 95: The HikoukiJP,Highwaystar,"D3 PublisherJP, AgetecNA","May 23, 2002",Unreleased,"September 26, 2002",[6]
35,Acid,ISCO,Taki,"July 8, 1999",Unreleased,Unreleased,[7]
36,Aconcagua,SCEI,SCEI,"June 1, 2000",Unreleased,Unreleased,[7]
37,Action Bass,Vingt-et-un Systems,"Take 2 Interactive, SyscomJP","December 9, 1999","September 29, 2000","July 14, 2000",[8]
38,Action Man: Destruction X,Blitz Games[9],"The 3DO Company, Hasbro Interactive",Unreleased,November 2000,Unreleased,[10]
39,Action Man: Operation Extreme•Action Man: Mission XtremePAL,Blitz Games,Hasbro Interactive,Unreleased,"June 25, 2000","November 30, 2000",[11]
40,Activision Classic Games for the Atari 2600,Gray Matter,Activision,Unreleased,Unreleased,"September 30, 1998",[12]
41,Actua Golf•VR Golf '97NA,Gremlin Interactive,"Gremlin InteractivePAL, VR SportsNA, Naxat SoftJP","April 11, 1997",October 1996,"October 15, 1996",[13]
